#{"t_start": 1747068277.7986002, "env_id": "None"}
r,l,t
-17.13401,23,522.852332
-10.13401,16,524.548069
-16.13401,22,525.823709
-4.13401,10,527.137238
-2.1319,9,528.91954
-24.1319,31,530.703028
-0.134059,5,531.479876
-0.134059,5,532.14862
-8.4538,18,534.546589
-2.1319,9,536.744993
-2.1319,9,538.506992
-2.49789,4,538.767479
-27.1319,34,540.742691
-0.49789,2,540.982471
-11.1319,19,544.102176
-0.13401,6,545.251369
-8.421581,11,545.81723
-8.1319,15,548.230483
-2.134059,7,548.925737
-2.1319,9,550.355302
-2.1319,9,552.169286
-8.1319,15,554.364285
0.865941,5,557.417149
-16.1319,23,560.74953
-26.133585,32,563.139512
-4.133585,10,564.651077
-1.1319,8,567.592914
-1.1319,8,569.404892
-24.134059,29,570.974243
-2.133585,8,572.180358
-3.133585,9,573.275071
-10.133585,16,574.342153
-0.49789,2,574.592167
-2.133585,8,576.791191
-1.13401,7,577.957832
-81.13401,87,579.745115
-4.13401,10,580.883838
-0.13401,6,582.181512
-1.133135,7,583.605284
-0.134059,6,586.744936
-15.100044,22,588.692829
-2.134059,7,589.313821
-3.134059,9,590.960364
-1.134059,7,592.170111
-8.134059,14,593.370775
-6.134059,12,594.975037
-12.134059,18,596.263892
-7.133585,14,599.628973
-29.133585,36,601.889509
-5.13401,11,603.321466
-0.4971,3,603.887314
-0.49789,2,604.138007
-0.49789,2,604.504842
-5.13401,11,605.846631
-5.13401,11,607.30569
-0.13401,6,608.735912
-50.424864,52,609.175606
-8.1319,16,612.251547
-6.1319,14,617.898564
-38.465985,40,619.116504
-22.058923,29,621.375664
-5.058923,12,623.538511
-3.134059,9,625.033744
-9.058923,16,628.126864
-33.49789,35,628.866674
-1.81979,7,630.92013
-32.49789,34,631.290577
-7.13401,13,632.261198
-6.49789,8,633.055251
-2.058923,9,635.094385
-4.134059,10,636.451296
-2.134059,7,637.260185
-3.134059,8,638.072385
-1.134059,7,641.079503
-0.058923,7,643.174108
-3.134059,9,644.798687
-2.49789,4,645.116566
-7.13401,14,647.800545
-0.13401,7,649.868596
-4.49789,7,650.552896
-5.13401,12,653.524162
-0.13401,7,655.971733
-3.134059,9,657.512666
-5.13401,12,659.700158
-6.13401,13,662.504888
-3.058923,10,665.00532
-4.49789,6,665.427451
0.865941,4,666.966177
-1.058923,8,668.960016
1.865941,3,669.547303
-5.058923,12,672.336159
-3.1319,10,674.1232
-26.13401,32,675.370274
-3.49789,5,675.598426
-5.058923,12,678.318143
-12.058923,19,680.742916
-5.058923,12,682.770972
-3.058923,10,685.265553
-4.058923,11,687.450531
-3.058923,10,689.696939
-3.058923,10,691.722703
-3.058923,10,695.306224
-4.058923,11,698.743227
-9.058923,16,702.129617
-2.058923,9,704.800343
-0.134059,6,706.115736
-13.058923,20,709.715178
-6.49789,8,710.223834
-1.130841,8,711.83316
-16.133585,22,713.782036
-3.49789,5,714.386661
-32.133585,38,715.645167
-3.058923,10,718.179152
-0.134059,5,719.488266
-4.134059,10,721.154593
-6.058923,13,723.812283
-0.058922,8,728.610569
-1.058923,8,735.854714
1.941077,5,739.827662
1.941077,5,742.532016
-0.058923,7,746.057604
-3.49789,5,746.327051
-2.058923,9,749.32808
-7.058923,14,751.610981
-4.134059,9,752.16554
-2.058923,9,754.343396
-5.058923,12,756.420785
-4.134059,10,758.205051
0.865941,5,760.153684
-2.134059,7,760.64182
-6.058923,13,763.40483
-11.058923,18,766.499251
-4.058923,11,770.206228
-3.058923,10,776.135168
-1.058922,9,779.815361
-5.058923,12,781.99581
-0.49789,2,782.264161
-4.133584,12,786.743801
-5.49789,9,788.436436
-2.134059,8,790.161268
-4.133585,11,793.247513
-0.134059,5,794.073849
-0.133585,7,796.711317
-0.134059,6,797.915706
-5.49789,7,798.187222
1.866415,5,800.721475
-3.133585,10,803.087594
1.865941,4,804.655535
-0.134059,5,805.321113
-6.49789,8,805.499942
-1.134059,8,808.370469
-1.49789,3,808.677503
-2.134059,7,810.741528
-0.134059,6,812.660238
-3.134059,9,814.560276
-5.134059,11,818.886499
-1.134059,6,819.99175
-3.058918,11,824.543956
-8.058918,16,830.2471
-3.134059,9,833.678873
-0.058918,8,837.89252
-2.058918,10,842.663731
0.941077,6,845.381068
0.865941,5,848.978745
1.941077,5,851.579205
-1.058923,8,854.2083
0.941077,6,856.79997
-0.5,1,856.839619
-3.058918,11,861.195983
-2.058918,10,865.13403
-0.134059,6,866.66589
-1.134059,6,867.439147
-7.058923,14,869.61818
-0.134059,5,870.571153
-5.093569,14,874.196053
-6.093569,15,877.906782
-1.093569,10,881.56458
-12.499076,14,881.895607
2.906431,6,885.581933
-2.093569,11,889.234017
-1.134059,6,891.761063
-25.134059,31,893.310045
-5.093569,14,896.917084
-3.49789,6,897.681508
-6.093569,15,901.371796
-20.13401,26,902.701135
0.865941,4,903.685643
-1.133971,8,905.052983
-2.133971,9,906.541368
-1.134059,7,907.872022
-1.058923,8,909.963333
-1.133585,7,911.706253
-2.133585,8,914.528045
-2.133585,8,915.626843
-32.465985,34,916.012787
-2.058918,10,921.981267
1.865941,3,922.744429
-9.058918,17,928.284701
-3.058923,10,930.62047
-4.11164,8,931.625078
-1.497416,4,932.320897
-3.11164,7,933.260804
-11.497416,14,934.267786
-1.499922,4,935.14641
-4.11164,8,936.264787
-2.11164,6,937.648307
-2.497416,5,938.082113
-3.11164,7,939.163441
-3.49789,5,939.461974
-0.11164,4,940.509312
-2.13401,9,943.258341
-0.497416,3,943.817072
-4.11164,8,945.066036
-9.11164,13,946.028617
-49.11164,53,947.164422
-7.497416,10,948.546041
-0.497416,3,949.079628
-2.497416,5,949.530205
-3.497416,6,950.210024
-8.222283,12,951.609089
-4.497416,7,952.269915
-8.497416,11,952.870636
-24.11164,28,953.793578
-3.497416,6,954.39948
-1.11164,5,955.448594
-2.11164,6,956.401
-4.11164,8,957.211379
-1.5,2,957.241914
-3.11164,7,958.078147
-6.497416,9,958.73429
-8.11164,12,959.582457
-0.11164,4,960.671875
-0.747809,8,962.012197
-3.11164,7,962.972956
-2.11164,6,963.883773
-3.11164,7,964.841406
-0.497416,3,966.119619
-7.11164,11,966.923363
-10.11164,14,968.077866
-17.11164,21,969.188891
-4.497416,7,970.553895
-10.421107,14,971.550732
-0.5,1,971.572843
-7.497416,10,972.160992
-22.462375,26,973.135739
-4.747809,13,975.023262
-10.497416,13,975.745106
-18.497416,21,977.022253
-46.11164,50,978.003568
-26.11164,30,979.443885
-2.497416,5,979.931992
0.252191,7,981.352618
-17.747809,26,983.556378
-50.497416,53,984.306838
-0.497416,3,984.768893
-1.49789,3,985.054493
-39.497416,42,985.703621
